,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,283150150,s:40~l:41~e:283150150~c:283150150,2008-11-11T00:00Z,9314,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-11T00:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,2506,s:40~l:41~t:2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,True,2046,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,6,,,,,,,2009
0,283150248,s:40~l:41~e:283150248~c:283150248,2008-11-10T21:00Z,9314,True,True,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-10T21:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,248,s:40~l:41~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,True,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,11,290,s:40~l:41~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,GA Southern,003775,f0f0f0,True,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,24,,,,,,,2009
0,283160150,s:40~l:41~e:283160150~c:283160150,2008-11-12T02:00Z,9314,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-12T02:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,150,s:40~l:41~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,001A57,f1f2f3,True,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,290,s:40~l:41~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,GA Southern,003775,f0f0f0,True,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,24,,,,,,,2009
0,283160085,s:40~l:41~e:283160085~c:283160085,2008-11-11T21:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-11T21:00Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,85,s:40~l:41~t:85,IUPUI,Jaguars,IUPU,IUPUI Jaguars,IUPUI,A81F30,d59f0f,True,4947,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,49,111,s:40~l:41~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,True,1219,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,10,,,,,,,2009
0,283162506,s:40~l:41~e:283162506~c:283162506,2008-11-11T23:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-11T23:00Z,0,N/A,1914,Cameron Indoor Stadium,Durham,NC,9314.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2506,s:40~l:41~t:2506,Presbyterian,Blue Hose,PRES,Presbyterian Blue Hose,Presbyterian,194896,990134,True,2046,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,6,248,s:40~l:41~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,True,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,11,,,,,,,2009
0,283160113,s:40~l:41~e:283160113~c:283160113,2008-11-11T23:00Z,6889,True,True,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-11T23:00Z,0,N/A,2190,Banterra Center,Carbondale,IL,8284.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,113,s:40~l:41~t:113,UMass,Minutemen,MASS,UMass Minutemen,UMass,880007,,True,1984,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,3,2028,s:40~l:41~t:2028,Ark Monticello,Weevils,ARMC,Ark Monticello Weevils,Ark Monticello,000000,,False,,,,,,,,,,2009
0,283160130,s:40~l:41~e:283160130~c:283160130,2008-11-12T00:00Z,6328,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-12T00:00Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,2392,s:40~l:41~t:2392,Michigan Tech,Huskies,MTU,Michigan Tech Huskies,Mich Tech,000000,,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,,,,,,,,2009
0,283160079,s:40~l:41~e:283160079~c:283160079,2008-11-12T01:35Z,7376,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-12T01:35Z,0,N/A,2190,Banterra Center,Carbondale,IL,8284.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,79,s:40~l:41~t:79,Southern Illinois,Salukis,SIU,Southern Illinois Salukis,So Illinois,85283D,c2c3c0,True,2190,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png,18,2858,s:40~l:41~t:2858,California PA,Vulcans,CAC,California PA Vulcans,California PA,000000,,False,,,,,,,,,,2009
0,283170026,s:40~l:41~e:283170026~c:283170026,2008-11-13T03:00Z,7190,True,False,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-13T03:00Z,0,N/A,479,Pauley Pavilion presented by Wescom,Los Angeles,CA,13800.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,2504,s:40~l:41~t:2504,Prairie View A&M,Panthers,PV,Prairie View A&M Panthers,Prairie View,4d0960,,True,2027,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,26,,,,,,,2009
0,283172392,s:40~l:41~e:283172392~c:283172392,2008-11-12T22:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': '2K SPORTS CLASSIC BENEFITING COACHES VS. CANCER'}]",2008-11-12T22:00Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2392,s:40~l:41~t:2392,Michigan Tech,Huskies,MTU,Michigan Tech Huskies,Mich Tech,000000,,False,,https://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,,85,s:40~l:41~t:85,IUPUI,Jaguars,IUPU,IUPUI Jaguars,IUPUI,A81F30,d59f0f,True,4947,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,49,,,,,,,2009
