,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,season
0,253120183,s:40~l:41~e:253120183~c:253120183,2005-11-09T01:00Z,17821,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-09T01:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,2065,s:40~l:41~t:2065,Bethune-Cookman,Wildcats,BCU,Bethune-Cookman Wildcats,Bethune-Cookman,7b1831,e9aa12,True,2073,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,16,,,,,,2006
0,253122598,s:40~l:41~e:253122598~c:253122598,2005-11-08T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-08T23:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2598,s:40~l:41~t:2598,St. Francis (PA),Red Flash,SFPA,St. Francis (PA) Red Flash,St. Fran. (PA),a20012,,True,2149,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,19,172,s:40~l:41~t:172,Cornell,Big Red,COR,Cornell Big Red,Cornell,d60027,101010,True,1913,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png,12,,,,,,2006
0,253130183,s:40~l:41~e:253130183~c:253130183,2005-11-10T01:00Z,17188,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-10T01:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,183,s:40~l:41~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,F37321,0d1d37,True,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,172,s:40~l:41~t:172,Cornell,Big Red,COR,Cornell Big Red,Cornell,d60027,101010,True,1913,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png,12,,,,,,2006
0,253130399,s:40~l:41~e:253130399~c:253130399,2005-11-09T22:00Z,9117,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-09T22:00Z,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,2473,s:40~l:41~t:2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,927e4d,True,2178,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,45,,,,,,2006
0,253132598,s:40~l:41~e:253132598~c:253132598,2005-11-09T23:00Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-09T23:00Z,0,N/A,1964,Carrier Dome,Syracuse,NY,34616.0,True,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,2598,s:40~l:41~t:2598,St. Francis (PA),Red Flash,SFPA,St. Francis (PA) Red Flash,St. Fran. (PA),a20012,,True,2149,https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,19,2065,s:40~l:41~t:2065,Bethune-Cookman,Wildcats,BCU,Bethune-Cookman Wildcats,Bethune-Cookman,7b1831,e9aa12,True,2073,https://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,16,OT,,,,,2006
0,253130057,s:40~l:41~e:253130057~c:253130057,2005-11-10T00:30Z,9117,True,False,False,False,"[{'type': 'event', 'headline': 'COACHES VS CANCER CLASSIC'}]",2005-11-10T00:30Z,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,True,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,2612,s:40~l:41~t:2612,Saint Peter's,Peacocks,SPU,Saint Peter's Peacocks,Saint Peter's,004CC2,,True,1963,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,13,,,,,,2006
0,253140154,s:40~l:41~e:253140154~c:253140154,2005-11-11T00:30Z,14665,True,False,False,False,"[{'type': 'event', 'headline': '2005 2K SPORTS COACHES VS CANCER CLASSIC'}]",2005-11-11T00:30Z,0,N/A,2120,Lawrence Joel Coliseum,Winston-Salem,NC,14665.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,154,s:40~l:41~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,000000,True,2120,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2,2400,s:40~l:41~t:2400,Mississippi Valley State,Delta Devils,MVSU,Mississippi Valley State Delta Devils,Miss Valley St,005328,cf2d34,True,1988,https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,26,,,,,,2006
0,253142244,s:40~l:41~e:253142244~c:253142244,2005-11-10T22:00Z,14665,True,False,False,False,"[{'type': 'event', 'headline': '2005 2K SPORTS COACHES VS CANCER CLASSIC AT WINSTON-SALEM NC'}]",2005-11-10T22:00Z,0,N/A,2120,Lawrence Joel Coliseum,Winston-Salem,NC,14665.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2244,s:40~l:41~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,True,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,10,300,s:40~l:41~t:300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e,True,469,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,9,,,,,,2006
0,253142501,s:40~l:41~e:253142501~c:253142501,2005-11-10T22:30Z,0,True,False,False,False,"[{'type': 'event', 'headline': '2005 2K SPORTS COACHES VS CANCER CLASSIC AT LUBBOCK TX'}]",2005-11-10T22:30Z,0,N/A,2047,United Supermarkets Arena,Lubbock,TX,15098.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2501,s:40~l:41~t:2501,Portland,Pilots,PORT,Portland Pilots,Portland,0e034e,f0f0f0,True,2136,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,29,290,s:40~l:41~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,GA Southern,003775,f0f0f0,True,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,24,,,,,,2006
0,253142473,s:40~l:41~e:253142473~c:253142473,2005-11-10T22:30Z,2675,True,False,False,False,"[{'type': 'event', 'headline': '2005 2K SPORTS COACHES VS CANCER CLASSIC AT GAINESVILLE FL'}]",2005-11-10T22:30Z,0,N/A,360,Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,10151.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2473,s:40~l:41~t:2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,927e4d,True,2178,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,45,2612,s:40~l:41~t:2612,Saint Peter's,Peacocks,SPU,Saint Peter's Peacocks,Saint Peter's,004CC2,,True,1963,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,13,,,,,,2006
0,253140259,s:40~l:41~e:253140259~c:253140259,2005-11-11T00:00Z,9847,True,False,False,False,"[{'type': 'event', 'headline': 'NABC CLASSIC'}]",2005-11-11T00:00Z,0,N/A,2119,Cassell Coliseum,Blacksburg,VA,9275.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,259,s:40~l:41~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba,True,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,2515,s:40~l:41~t:2515,Radford,Highlanders,RAD,Radford Highlanders,Radford,BC1515,c2c3c0,True,1901,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,6,,,,,,2006
